"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"US10box_007","ALLIANCE 5.9 NE, NE US","2024-03-31",,,,,"0.45",,,,,,,,,,,,,
"US10box_007","ALLIANCE 5.9 NE, NE US","2024-04-01",,,,,"0.20",,,,,,,,,,,,,
"US10box_007","ALLIANCE 5.9 NE, NE US","2024-04-27",,,,,"0.96",,,,,,,,,,,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-01","5.14",,,,"0.00",,,,"48","6","  360","  360","13.0","17.0","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-02","4.70",,,,"0.00",,,,"41","11","  270","  270","12.1","12.1","    1","    1",,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-03","6.93",,,,"0.00",,,,"37","6","  150","  170","19.9","25.9","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-04","10.74",,,,"0.00",,,,"28","23","  160","  140","21.0","27.1","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-05","9.62",,,,"0.00",,,,"39","16","  330","  330","19.9","25.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-06","10.74",,,,"0.00",,,,"36","10","  300","  300","21.0","28.0",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-07","5.82",,,,"0.00",,,,"34","9","  340","  350","19.9","25.9",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-08","15.88",,,,"0.00",,,,"20","0","  340","  340","29.1","36.9","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-09","9.62",,,,"0.00",,,,"40","-1","  270","  260","21.9","29.1",,,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-10","10.74",,,,"0.01",,,,"39","10","  300","  300","29.1","36.9","    1",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-11","12.53",,,,"0.07",,,,"21","-9","   20","   20","23.0","30.0","    1",,,"    1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-12","10.74",,,,"0.00",,,,"2","-17","   10","  360","21.9","28.0","    1",,,"    1"
