"STATION","NAME","DATE","AWND","PGTM","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5"
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-01",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-02",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-03",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-04",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-05",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-06",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-07",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-08",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-09",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-10",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-11",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-12",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-13",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-14",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-15",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-16",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-17",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-18",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-19",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-20",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-21",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-22",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-23",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-24",,,,,,,,,,
"US1TXHRR237","WEBSTER 2.8 NNW, TX US","2024-01-25",,,,,,,,,,
