"STATION","NAME","DATE","AWND","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-01-06",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-01-07",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-01-08",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-01-11",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-01-12",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-02-02",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-02-04",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-02-27",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-02-28",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-06",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-07",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-08",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-13",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-14",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-22",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-23",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-24",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-25",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-26",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-30",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-03-31",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-04-01",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-04-02",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-04-07",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-04-14",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-04-15",,,,,,,,,
"US1NELA0030","WAVERLY 0.4 W, NE US","2024-04-16",,,,,,,,,
