"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US10box_007","ALLIANCE 5.9 NE, NE US","2024-03-31",,,
"US10box_007","ALLIANCE 5.9 NE, NE US","2024-04-01",,,
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-01",,"48","6"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-02",,"41","11"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-03",,"37","6"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-04",,"28","23"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-05",,"39","16"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-06",,"36","10"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-07",,"34","9"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-08",,"20","0"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-09",,"40","-1"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-10",,"39","10"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-11",,"21","-9"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-12",,"2","-17"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-13",,"-11","-21"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-14",,"-1","-23"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-15",,"-5","-19"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-16",,"-14","-18"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-17",,"27","12"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-18",,"30","-2"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-19",,"17","-13"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-20",,"20","-5"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-21",,"47","10"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-22",,"50","14"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-23",,"49","18"
"USW00024044","ALLIANCE MUNICIPAL AIRPORT ASOS, NE US","2024-01-24",,"50","19"
